feature
Column1
alcohol_consumption_per_week
physical_activity_minutes_per_week
diet_score
sleep_hours_per_day
screen_time_hours_per_day
family_history_diabetes
hypertension_history
cardiovascular_history
bmi
waist_to_hip_ratio
systolic_bp
diastolic_bp
heart_rate
cholesterol_total
hdl_cholesterol
ldl_cholesterol
triglycerides
glucose_fasting
glucose_postprandial
insulin_level
hba1c
gender_Male
gender_Other
ethnicity_Black
ethnicity_Hispanic
ethnicity_Other
ethnicity_White
education_level_Highschool
education_level_No formal
education_level_Postgraduate
income_level_Low
income_level_Lower-Middle
income_level_Middle
income_level_Upper-Middle
employment_status_Retired
employment_status_Student
employment_status_Unemployed
smoking_status_Former
smoking_status_Never
